"","GEOID","CSAFP","CBSAFP","NAME","NAMELSAD","LSAD","MEMI","MTFCC","ALAND","AWATER","INTPTLAT","INTPTLON","ENTRE","IMMIG","TOTAL"
"1",39820,454,39820,"Redding, CA","Redding, CA Metro Area","M1",1,"G3110",9778188572,186530168,40.7605142,-122.0435556,23,25,496
"2",40140,348,40140,"Riverside-San Bernardino-Ontario, CA","Riverside-San Bernardino-Ontario, CA Metro Area","M1",1,"G3110",70612017093,374752982,34.5375344,-116.1309212,NA,2519,8586
"3",40420,466,40420,"Rockford, IL","Rockford, IL Metro Area","M1",1,"G3110",2056847303,18446904,42.331183,-89.0429139,58,63,649
"4",43900,273,43900,"Spartanburg, SC","Spartanburg, SC Metro Area","M1",1,"G3110",3424313941,34016289,34.8346199,-81.8424008,NA,79,928
"5",45060,532,45060,"Syracuse, NY","Syracuse, NY Metro Area","M1",1,"G3110",6176907940,1020646108,43.0065163,-76.1961336,NA,111,1362
"6",42220,488,42220,"Santa Rosa, CA","Santa Rosa, CA Metro Area","M1",1,"G3110",4081401191,497545934,38.5251824,-122.9261095,NA,181,902
"7",41420,440,41420,"Salem, OR","Salem, OR Metro Area","M1",1,"G3110",4977573456,34719240,44.9033845,-122.9017571,NA,231,1266
"8",41860,488,41860,"San Francisco-Oakland-Hayward, CA","San Francisco-Oakland-Hayward, CA Metro Area","M1",1,"G3110",6417203879,2456442138,37.7737185,-122.2744317,NA,3630,9622
"9",42100,488,42100,"Santa Cruz-Watsonville, CA","Santa Cruz-Watsonville, CA Metro Area","M1",1,"G3110",1152967332,419570851,37.0124883,-122.007205,53,103,660
"10",42660,500,42660,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma-Bellevue, WA Metro Area","M1",1,"G3110",15209110951,1132535454,47.5530503,-121.8831653,NA,2206,9044
"11",41940,488,41940,"San Jose-Sunnyvale-Santa Clara, CA","San Jose-Sunnyvale-Santa Clara, CA Metro Area","M1",1,"G3110",6938387443,40386344,36.9084718,-121.3713721,NA,1853,3947
"12",41500,NA,41500,"Salinas, CA","Salinas, CA Metro Area","M1",1,"G3110",8496731189,1270747397,36.240107,-121.3155723,NA,339,841
"13",44700,488,44700,"Stockton-Lodi, CA","Stockton-Lodi, CA Metro Area","M1",1,"G3110",3603647025,91127543,37.9349815,-121.272244,95,503,1458
"14",40900,472,40900,"Sacramento--Roseville--Arden-Arcade, CA","Sacramento--Roseville--Arden-Arcade, CA Metro Area","M1",1,"G3110",13195191548,548573735,38.7896779,-121.0057504,NA,1043,4562
"15",42020,NA,42020,"San Luis Obispo-Paso Robles-Arroyo Grande, CA","San Luis Obispo-Paso Robles-Arroyo Grande, CA Metro Area","M1",1,"G3110",8548549787,815580311,35.3852263,-120.4475418,53,57,514
"16",42200,NA,42200,"Santa Maria-Santa Barbara, CA","Santa Maria-Santa Barbara, CA Metro Area","M1",1,"G3110",7083927512,2729816973,34.5370572,-120.0399729,NA,264,793
"17",44060,518,44060,"Spokane-Spokane Valley, WA","Spokane-Spokane Valley, WA Metro Area","M1",1,"G3110",14611513157,272295323,48.1890407,-117.5732186,NA,42,1295
"18",41740,NA,41740,"San Diego-Carlsbad, CA","San Diego-Carlsbad, CA Metro Area","M1",1,"G3110",10895227071,826282961,33.0236041,-116.7761174,NA,2015,6891
"19",41100,NA,41100,"St. George, UT","St. George, UT Metro Area","M1",1,"G3110",6285672118,9134289,37.2625308,-113.4878003,NA,56,632
"20",41620,482,41620,"Salt Lake City, UT","Salt Lake City, UT Metro Area","M1",1,"G3110",19901615700,1055940277,40.5727871,-112.9531375,NA,842,5406
"21",42140,106,42140,"Santa Fe, NM","Santa Fe, NM Metro Area","M1",1,"G3110",4945412532,3645423,35.5143241,-105.9657706,NA,272,992
"22",41700,NA,41700,"San Antonio-New Braunfels, TX","San Antonio-New Braunfels, TX Metro Area","M1",1,"G3110",18939886213,150518692,29.4330599,-98.6069734,NA,719,4477
"23",43620,NA,43620,"Sioux Falls, SD","Sioux Falls, SD Metro Area","M1",1,"G3110",6671079051,27077952,43.4954205,-96.9953387,NA,202,3598
"24",43300,206,43300,"Sherman-Denison, TX","Sherman-Denison, TX Metro Area","M1",1,"G3110",2415989108,120124595,33.6245321,-96.6757378,35,26,499
"25",43340,NA,43340,"Shreveport-Bossier City, LA","Shreveport-Bossier City, LA Metro Area","M1",1,"G3110",8257355725,324450049,32.4906379,-93.6711914,NA,31,1856
"26",44180,520,44180,"Springfield, MO","Springfield, MO Metro Area","M1",1,"G3110",7787627619,35981602,37.3608699,-93.1802617,NA,47,983
"27",41180,476,41180,"St. Louis, MO-IL","St. Louis, MO-IL Metro Area","M1",1,"G3110",20366579725,565384553,38.7404035,-90.3459564,NA,406,5978
"28",44100,522,44100,"Springfield, IL","Springfield, IL Metro Area","M1",1,"G3110",3063280701,25218803,39.828565,-89.6962052,46,25,633
"29",43780,515,43780,"South Bend-Mishawaka, IN-MI","South Bend-Mishawaka, IN-MI Metro Area","M1",1,"G3110",2455267304,56251230,41.7749808,-86.1230143,17,19,596
"30",40980,474,40980,"Saginaw, MI","Saginaw, MI Metro Area","M1",1,"G3110",2073181634,40159719,43.3282667,-84.05541,14,28,359
"31",42340,496,42340,"Savannah, GA","Savannah, GA Metro Area","M1",1,"G3110",3477941518,587429320,32.1091449,-81.2730939,NA,81,951
"32",40220,NA,40220,"Roanoke, VA","Roanoke, VA Metro Area","M1",1,"G3110",4839992437,72598010,37.2862262,-79.9469346,10,60,428
"33",39580,450,39580,"Raleigh, NC","Raleigh, NC Metro Area","M1",1,"G3110",5485858939,75685838,35.7567464,-78.4604412,NA,462,3087
"34",40380,464,40380,"Rochester, NY","Rochester, NY Metro Area","M1",1,"G3110",8459597611,5126899048,43.148038,-77.5232575,NA,140,2159
"35",40060,NA,40060,"Richmond, VA","Richmond, VA Metro Area","M1",1,"G3110",11852491242,327650578,37.4634618,-77.4751772,NA,314,2513
"36",39740,428,39740,"Reading, PA","Reading, PA Metro Area","M1",1,"G3110",2218040257,24252061,40.4139565,-75.9268598,31,76,743
"37",42540,NA,42540,"Scranton--Wilkes-Barre--Hazleton, PA","Scranton--Wilkes-Barre--Hazleton, PA Metro Area","M1",1,"G3110",4523197900,77170603,41.3228806,-75.8981877,NA,85,1049
"38",41540,NA,41540,"Salisbury, MD-DE","Salisbury, MD-DE Metro Area","M1",1,"G3110",5435122260,2080604052,38.3995211,-75.4782615,NA,276,2337
"39",44140,521,44140,"Springfield, MA","Springfield, MA Metro Area","M1",1,"G3110",2964007223,90781029,42.2477995,-72.6320465,NA,164,1717
"40",48660,NA,48660,"Wichita Falls, TX","Wichita Falls, TX Metro Area","M1",1,"G3110",6784779872,144176905,33.7761441,-98.5019073,NA,44,485
"41",48140,554,48140,"Wausau, WI","Wausau, WI Metro Area","M1",1,"G3110",4001539245,81145909,44.8980363,-89.757823,11,8,339
"42",45300,NA,45300,"Tampa-St. Petersburg-Clearwater, FL","Tampa-St. Petersburg-Clearwater, FL Metro Area","M1",1,"G3110",6512932308,2115146547,28.1259071,-82.4652858,NA,1199,6349
"43",49340,148,49340,"Worcester, MA-CT","Worcester, MA-CT Metro Area","M1",1,"G3110",5240884091,199162317,42.2173112,-71.9255354,NA,496,2713
"44",46520,NA,46520,"Urban Honolulu, HI","Urban Honolulu, HI Metro Area","M1",1,"G3110",1555505156,4054940027,21.4613654,-158.201974,NA,2382,9531
"45",46700,488,46700,"Vallejo-Fairfield, CA","Vallejo-Fairfield, CA Metro Area","M1",1,"G3110",2128379537,218647641,38.2672255,-121.939594,NA,173,791
"46",47300,546,47300,"Visalia-Porterville, CA","Visalia-Porterville, CA Metro Area","M1",1,"G3110",12494776875,37391591,36.2288241,-118.781061,NA,365,857
"47",49740,NA,49740,"Yuma, AZ","Yuma, AZ Metro Area","M1",1,"G3110",14281191792,13171316,32.7739424,-113.910905,NA,271,672
"48",46060,536,46060,"Tucson, AZ","Tucson, AZ Metro Area","M1",1,"G3110",23794325411,5273054,32.1285226,-111.7830267,NA,306,1992
"49",48620,556,48620,"Wichita, KS","Wichita, KS Metro Area","M1",1,"G3110",12981364606,92855414,37.6298308,-97.3988319,NA,309,2452
"50",47380,NA,47380,"Waco, TX","Waco, TX Metro Area","M1",1,"G3110",4668694471,81529872,31.4272264,-97.0934727,23,91,466
"51",46140,538,46140,"Tulsa, OK","Tulsa, OK Metro Area","M1",1,"G3110",16237998497,493550071,36.2541502,-96.1749783,227,404,3345
"52",45820,NA,45820,"Topeka, KS","Topeka, KS Metro Area","M1",1,"G3110",8372470747,148307399,39.0413888,-95.8026393,23,61,808
"53",46340,540,46340,"Tyler, TX","Tyler, TX Metro Area","M1",1,"G3110",2386700344,73067567,32.3751061,-95.2687428,28,79,490
"54",47940,NA,47940,"Waterloo-Cedar Falls, IA","Waterloo-Cedar Falls, IA Metro Area","M1",1,"G3110",3893008619,28167535,42.5367962,-92.471608,NA,56,800
