"","GEOID","CSAFP","CBSAFP","NAME","NAMELSAD","LSAD","MEMI","MTFCC","ALAND","AWATER","INTPTLAT","INTPTLON","ENTRE","IMMIG","ImmiEnter","ind2","TOTAL","IMMIGRate","EntreRate","ImmigOwnEntreRate"
"1",39900,456,39900,"Reno, NV","Reno, NV Metro Area","M1",1,"G3110",17004051224,623033216,40.5007953,-119.7311608,201,413,19,"770",2409,17.1440431714404,8.34371108343711,0.78870900788709
"2",40140,348,40140,"Riverside-San Bernardino-Ontario, CA","Riverside-San Bernardino-Ontario, CA Metro Area","M1",1,"G3110",70612017093,374752982,34.5375344,-116.1309212,547,2535,183,"770",8198,30.9221761405221,6.67235911197853,2.23225176872408
"3",40420,466,40420,"Rockford, IL","Rockford, IL Metro Area","M1",1,"G3110",2056847303,18446904,42.331183,-89.0429139,42,53,6,"7860",916,5.78602620087336,4.58515283842795,0.655021834061135
"4",43900,273,43900,"Spartanburg, SC","Spartanburg, SC Metro Area","M1",1,"G3110",3424313941,34016289,34.8346199,-81.8424008,92,42,16,"770",869,4.8331415420023,10.5868814729574,1.84119677790564
"5",45060,532,45060,"Syracuse, NY","Syracuse, NY Metro Area","M1",1,"G3110",6176907940,1020646108,43.0065163,-76.1961336,89,77,3,"7860",1307,5.89135424636572,6.80948737566947,0.229533282325937
"6",42220,488,42220,"Santa Rosa, CA","Santa Rosa, CA Metro Area","M1",1,"G3110",4081401191,497545934,38.5251824,-122.9261095,109,144,9,"7860",1108,12.9963898916967,9.83754512635379,0.812274368231047
"7",41420,440,41420,"Salem, OR","Salem, OR Metro Area","M1",1,"G3110",4977573456,34719240,44.9033845,-122.9017571,113,178,10,"770",1437,12.3869171885873,7.86360473208072,0.69589422407794
"8",41860,488,41860,"San Francisco-Oakland-Hayward, CA","San Francisco-Oakland-Hayward, CA Metro Area","M1",1,"G3110",6417203879,2456442138,37.7737185,-122.2744317,854,3547,327,"770",10042,35.3216490738897,8.50428201553475,3.25632344154551
"9",42100,488,42100,"Santa Cruz-Watsonville, CA","Santa Cruz-Watsonville, CA Metro Area","M1",1,"G3110",1152967332,419570851,37.0124883,-122.007205,47,104,5,"770",560,18.5714285714286,8.39285714285714,0.892857142857143
"10",42660,500,42660,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma-Bellevue, WA Metro Area","M1",1,"G3110",15209110951,1132535454,47.5530503,-121.8831653,739,1727,150,"770",9376,18.4193686006826,7.88182593856655,1.59982935153584
"11",41940,488,41940,"San Jose-Sunnyvale-Santa Clara, CA","San Jose-Sunnyvale-Santa Clara, CA Metro Area","M1",1,"G3110",6938387443,40386344,36.9084718,-121.3713721,369,1827,124,"770",4703,38.847544120774,7.84605570912184,2.63661492664257
"12",41500,NA,41500,"Salinas, CA","Salinas, CA Metro Area","M1",1,"G3110",8496731189,1270747397,36.240107,-121.3155723,74,339,37,"170",867,39.1003460207612,8.53517877739331,4.26758938869665
"13",44700,488,44700,"Stockton-Lodi, CA","Stockton-Lodi, CA Metro Area","M1",1,"G3110",3603647025,91127543,37.9349815,-121.272244,91,348,23,"770",1314,26.4840182648402,6.92541856925419,1.7503805175038
"14",40900,472,40900,"Sacramento--Roseville--Arden-Arcade, CA","Sacramento--Roseville--Arden-Arcade, CA Metro Area","M1",1,"G3110",13195191548,548573735,38.7896779,-121.0057504,305,1120,75,"770",4438,25.2365930599369,6.87246507435782,1.68995042812078
"15",42020,NA,42020,"San Luis Obispo-Paso Robles-Arroyo Grande, CA","San Luis Obispo-Paso Robles-Arroyo Grande, CA Metro Area","M1",1,"G3110",8548549787,815580311,35.3852263,-120.4475418,59,55,0,"8680",585,9.4017094017094,10.0854700854701,0
"16",44060,518,44060,"Spokane-Spokane Valley, WA","Spokane-Spokane Valley, WA Metro Area","M1",1,"G3110",14611513157,272295323,48.1890407,-117.5732186,120,47,4,"770",1007,4.66732869910626,11.9165839126117,0.397219463753724
"17",41740,NA,41740,"San Diego-Carlsbad, CA","San Diego-Carlsbad, CA Metro Area","M1",1,"G3110",10895227071,826282961,33.0236041,-116.7761174,592,1952,147,"770",6697,29.1473794236225,8.83977900552486,2.19501269225026
"18",41620,482,41620,"Salt Lake City, UT","Salt Lake City, UT Metro Area","M1",1,"G3110",19901615700,1055940277,40.5727871,-112.9531375,304,763,30,"770",4738,16.1038412832419,6.41620937104263,0.633178556352891
"19",42140,106,42140,"Santa Fe, NM","Santa Fe, NM Metro Area","M1",1,"G3110",4945412532,3645423,35.5143241,-105.9657706,70,44,0,"770",448,9.82142857142857,15.625,0
"20",41700,NA,41700,"San Antonio-New Braunfels, TX","San Antonio-New Braunfels, TX Metro Area","M1",1,"G3110",18939886213,150518692,29.4330599,-98.6069734,234,583,52,"770",3757,15.5177002927868,6.22837370242214,1.3840830449827
"21",43620,NA,43620,"Sioux Falls, SD","Sioux Falls, SD Metro Area","M1",1,"G3110",6671079051,27077952,43.4954205,-96.9953387,353,306,11,"8190",3972,7.70392749244713,8.88721047331319,0.27693856998993
"22",41060,378,41060,"St. Cloud, MN","St. Cloud, MN Metro Area","M1",1,"G3110",4535657122,134115189,45.5930312,-94.4883635,48,75,0,"3470",628,11.9426751592357,7.64331210191083,0
"23",43340,NA,43340,"Shreveport-Bossier City, LA","Shreveport-Bossier City, LA Metro Area","M1",1,"G3110",8257355725,324450049,32.4906379,-93.6711914,30,51,4,"7860",787,6.48030495552732,3.81194409148666,0.508259212198221
"24",44180,520,44180,"Springfield, MO","Springfield, MO Metro Area","M1",1,"G3110",7787627619,35981602,37.3608699,-93.1802617,82,13,0,"770",977,1.33060388945752,8.39303991811668,0
"25",41180,476,41180,"St. Louis, MO-IL","St. Louis, MO-IL Metro Area","M1",1,"G3110",20366579725,565384553,38.7404035,-90.3459564,521,357,14,"770",7522,4.74607817069928,6.92634937516618,0.186120712576442
"26",44100,522,44100,"Springfield, IL","Springfield, IL Metro Area","M1",1,"G3110",3063280701,25218803,39.828565,-89.6962052,35,19,0,"8190",462,4.11255411255411,7.57575757575758,0
"27",43780,515,43780,"South Bend-Mishawaka, IN-MI","South Bend-Mishawaka, IN-MI Metro Area","M1",1,"G3110",2455267304,56251230,41.7749808,-86.1230143,27,19,0,"3570",661,2.87443267776097,4.08472012102874,0
"28",40980,474,40980,"Saginaw, MI","Saginaw, MI Metro Area","M1",1,"G3110",2073181634,40159719,43.3282667,-84.05541,12,0,0,"770",409,0,2.93398533007335,0
"29",44220,212,44220,"Springfield, OH","Springfield, OH Metro Area","M1",1,"G3110",1029469370,13070242,39.9170315,-83.783676,19,7,0,"9590",311,2.2508038585209,6.10932475884244,0
"30",44220,212,44220,"Springfield, OH","Springfield, OH Metro Area","M1",1,"G3110",1029469370,13070242,39.9170315,-83.783676,19,7,0,"7580",311,2.2508038585209,6.10932475884244,0
"31",42340,496,42340,"Savannah, GA","Savannah, GA Metro Area","M1",1,"G3110",3477941518,587429320,32.1091449,-81.2730939,85,52,8,"770",1336,3.89221556886228,6.3622754491018,0.598802395209581
"32",40220,NA,40220,"Roanoke, VA","Roanoke, VA Metro Area","M1",1,"G3110",4839992437,72598010,37.2862262,-79.9469346,17,11,0,"7860",626,1.75718849840256,2.71565495207668,0
"33",39580,450,39580,"Raleigh, NC","Raleigh, NC Metro Area","M1",1,"G3110",5485858939,75685838,35.7567464,-78.4604412,171,296,13,"770",2554,11.5896632732968,6.69537979639781,0.509005481597494
"34",40380,464,40380,"Rochester, NY","Rochester, NY Metro Area","M1",1,"G3110",8459597611,5126899048,43.148038,-77.5232575,120,110,5,"7860",2270,4.84581497797357,5.2863436123348,0.220264317180617
"35",40060,NA,40060,"Richmond, VA","Richmond, VA Metro Area","M1",1,"G3110",11852491242,327650578,37.4634618,-77.4751772,214,264,14,"770",3449,7.65439257755871,6.20469701362714,0.405914757900841
"36",39740,428,39740,"Reading, PA","Reading, PA Metro Area","M1",1,"G3110",2218040257,24252061,40.4139565,-75.9268598,103,99,8,"770",977,10.1330603889458,10.5424769703173,0.818833162743091
"37",42540,NA,42540,"Scranton--Wilkes-Barre--Hazleton, PA","Scranton--Wilkes-Barre--Hazleton, PA Metro Area","M1",1,"G3110",4523197900,77170603,41.3228806,-75.8981877,78,53,3,"770",1180,4.49152542372881,6.61016949152542,0.254237288135593
"38",41540,NA,41540,"Salisbury, MD-DE","Salisbury, MD-DE Metro Area","M1",1,"G3110",5435122260,2080604052,38.3995211,-75.4782615,72,30,8,"8680",615,4.8780487804878,11.7073170731707,1.30081300813008
"39",48140,554,48140,"Wausau, WI","Wausau, WI Metro Area","M1",1,"G3110",4001539245,81145909,44.8980363,-89.757823,68,22,0,"8190",710,3.09859154929577,9.57746478873239,0
"40",48140,554,48140,"Wausau, WI","Wausau, WI Metro Area","M1",1,"G3110",4001539245,81145909,44.8980363,-89.757823,68,22,0,"180",710,3.09859154929577,9.57746478873239,0
"41",45300,NA,45300,"Tampa-St. Petersburg-Clearwater, FL","Tampa-St. Petersburg-Clearwater, FL Metro Area","M1",1,"G3110",6512932308,2115146547,28.1259071,-82.4652858,620,851,73,"770",5821,14.6194811887992,10.651090877856,1.25408005497337
"42",46700,488,46700,"Vallejo-Fairfield, CA","Vallejo-Fairfield, CA Metro Area","M1",1,"G3110",2128379537,218647641,38.2672255,-121.939594,41,339,8,"770",992,34.1733870967742,4.13306451612903,0.806451612903226
"43",49420,NA,49420,"Yakima, WA","Yakima, WA Metro Area","M1",1,"G3110",11125450097,41102141,46.4565581,-120.7401446,49,158,3,"170",734,21.5258855585831,6.67574931880109,0.408719346049046
"44",47300,546,47300,"Visalia-Porterville, CA","Visalia-Porterville, CA Metro Area","M1",1,"G3110",12494776875,37391591,36.2288241,-118.781061,84,230,25,"7860",837,27.479091995221,10.0358422939068,2.9868578255675
"45",46060,536,46060,"Tucson, AZ","Tucson, AZ Metro Area","M1",1,"G3110",23794325411,5273054,32.1285226,-111.7830267,107,361,22,"770",1947,18.5413456599897,5.49563430919363,1.12994350282486
"46",48620,556,48620,"Wichita, KS","Wichita, KS Metro Area","M1",1,"G3110",12981364606,92855414,37.6298308,-97.3988319,162,246,9,"3580",2874,8.55949895615866,5.63674321503132,0.313152400835073
"47",47020,544,47020,"Victoria, TX","Victoria, TX Metro Area","M1",1,"G3110",4491432535,36383641,28.7314546,-97.1969934,75,46,12,"770",915,5.02732240437158,8.19672131147541,1.31147540983607
"48",47380,NA,47380,"Waco, TX","Waco, TX Metro Area","M1",1,"G3110",4668694471,81529872,31.4272264,-97.0934727,7,42,0,"770",556,7.55395683453237,1.2589928057554,0
"49",46140,538,46140,"Tulsa, OK","Tulsa, OK Metro Area","M1",1,"G3110",16237998497,493550071,36.2541502,-96.1749783,178,138,8,"770",2973,4.64177598385469,5.98721829801547,0.269088462832156
"50",45820,NA,45820,"Topeka, KS","Topeka, KS Metro Area","M1",1,"G3110",8372470747,148307399,39.0413888,-95.8026393,77,10,0,"7860",1190,0.840336134453782,6.47058823529412,0
"51",47940,NA,47940,"Waterloo-Cedar Falls, IA","Waterloo-Cedar Falls, IA Metro Area","M1",1,"G3110",3893008619,28167535,42.5367962,-92.471608,78,71,0,"7860",1096,6.47810218978102,7.11678832116788,0
"52",46220,NA,46220,"Tuscaloosa, AL","Tuscaloosa, AL Metro Area","M1",1,"G3110",7373818335,131651808,33.1606112,-87.7151664,19,41,1,"770",438,9.36073059360731,4.337899543379,0.228310502283105
"53",45220,533,45220,"Tallahassee, FL","Tallahassee, FL Metro Area","M1",1,"G3110",6184050070,556601745,30.3864276,-84.2804098,37,52,6,"770",453,11.4790286975717,8.16777041942605,1.32450331125828
"54",45780,534,45780,"Toledo, OH","Toledo, OH Metro Area","M1",1,"G3110",3531467479,673611709,41.5439974,-83.6908887,95,91,10,"7860",1467,6.20313565098841,6.47580095432856,0.681663258350375
"55",47580,356,47580,"Warner Robins, GA","Warner Robins, GA Metro Area","M1",1,"G3110",2006923538,19556095,32.4015944,-83.6350953,11,14,1,"9590",287,4.8780487804878,3.83275261324042,0.348432055749129
"56",46660,NA,46660,"Valdosta, GA","Valdosta, GA Metro Area","M1",1,"G3110",4116441967,102347892,30.8274985,-83.2421316,53,17,3,"7860",451,3.76940133037694,11.7516629711752,0.665188470066519
"57",49660,566,49660,"Youngstown-Warren-Boardman, OH-PA","Youngstown-Warren-Boardman, OH-PA Metro Area","M1",1,"G3110",4409156947,108718491,41.2363015,-80.5618679,53,29,0,"7860",1104,2.6268115942029,4.80072463768116,0
"58",49180,268,49180,"Winston-Salem, NC","Winston-Salem, NC Metro Area","M1",1,"G3110",5201851143,80932198,36.0788515,-80.3450642,77,59,11,"770",1057,5.58183538315989,7.28476821192053,1.0406811731315
"59",47900,548,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV","Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area","M1",1,"G3110",16178106918,1124017724,38.8169283,-77.4482275,2077,7057,560,"770",30103,23.4428462279507,6.89964455369897,1.86027970634156
"60",49620,276,49620,"York-Hanover, PA","York-Hanover, PA Metro Area","M1",1,"G3110",2341884216,16941833,39.9217514,-76.7288887,47,14,0,"770",785,1.78343949044586,5.98726114649682,0
"61",47260,545,47260,"Virginia Beach-Norfolk-Newport News, VA-NC","Virginia Beach-Norfolk-Newport News, VA-NC Metro Area","M1",1,"G3110",6972345097,3214108085,36.8560812,-76.3737908,213,214,15,"770",4005,5.34332084893883,5.31835205992509,0.374531835205993
"62",46540,NA,46540,"Utica-Rome, NY","Utica-Rome, NY Metro Area","M1",1,"G3110",6795981620,237487618,43.3322887,-75.173169,31,24,4,"8680",686,3.49854227405248,4.51895043731778,0.583090379008746
"63",47220,428,47220,"Vineland-Bridgeton, NJ","Vineland-Bridgeton, NJ Metro Area","M1",1,"G3110",1252937239,502091171,39.3283874,-75.1216435,21,14,3,"7860",281,4.98220640569395,7.47330960854092,1.06761565836299
"64",47220,428,47220,"Vineland-Bridgeton, NJ","Vineland-Bridgeton, NJ Metro Area","M1",1,"G3110",1252937239,502091171,39.3283874,-75.1216435,21,14,3,"2490",281,4.98220640569395,7.47330960854092,1.06761565836299
"65",45940,408,45940,"Trenton, NJ","Trenton, NJ Metro Area","M1",1,"G3110",581629671,11189320,40.2825027,-74.703724,26,137,18,"8680",654,20.9480122324159,3.97553516819572,2.75229357798165
"66",36420,416,36420,"Oklahoma City, OK","Oklahoma City, OK Metro Area","M1",1,"G3110",14275025160,181554378,35.4309676,-97.5069659,378,340,16,"770",4212,8.07217473884141,8.97435897435897,0.379867046533713
