INDEX,GEOID,CSAFP,CBSAFP,NAME,NAMELSAD,LSAD,MEMI,MTFCC,ALAND,AWATER,INTPTLAT,INTPTLON,ENTRE,IMMIG,ImmiEnter,TOTAL,IMMIGRate,EntreRate,ImmigOwnEntreRate
1,39820,454,39820,"Redding, CA","Redding, CA Metro Area",M1,1,G3110,9778188572,186530168,40.76,-122.04,23,25,7,496,5.04,4.64,1.41
2,40140,348,40140,"Riverside-San Bernardino-Ontario, CA","Riverside-San Bernardino-Ontario, CA Metro Area",M1,1,G3110,70612017093,374752982,34.54,-116.13,NA,2519,NA,8586,29.34,NA,NA
3,40420,466,40420,"Rockford, IL","Rockford, IL Metro Area",M1,1,G3110,2056847303,18446904,42.33,-89.04,58,63,4,649,9.71,8.94,0.62
4,43900,273,43900,"Spartanburg, SC","Spartanburg, SC Metro Area",M1,1,G3110,3424313941,34016289,34.83,-81.84,NA,79,NA,928,8.51,NA,NA
5,45060,532,45060,"Syracuse, NY","Syracuse, NY Metro Area",M1,1,G3110,6176907940,1020646108,43.01,-76.20,NA,111,NA,1362,8.15,NA,NA
6,42220,488,42220,"Santa Rosa, CA","Santa Rosa, CA Metro Area",M1,1,G3110,4081401191,497545934,38.53,-122.93,NA,181,NA,902,20.07,NA,NA
7,41420,440,41420,"Salem, OR","Salem, OR Metro Area",M1,1,G3110,4977573456,34719240,44.90,-122.90,NA,231,NA,1266,18.25,NA,NA
8,41860,488,41860,"San Francisco-Oakland-Hayward, CA","San Francisco-Oakland-Hayward, CA Metro Area",M1,1,G3110,6417203879,2456442138,37.77,-122.27,NA,3630,NA,9622,37.73,NA,NA
9,42100,488,42100,"Santa Cruz-Watsonville, CA","Santa Cruz-Watsonville, CA Metro Area",M1,1,G3110,1152967332,419570851,37.01,-122.01,53,103,9,660,15.61,8.03,1.36
10,42660,500,42660,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma-Bellevue, WA Metro Area",M1,1,G3110,15209110951,1132535454,47.55,-121.88,NA,2206,NA,9044,24.39,NA,NA
11,41940,488,41940,"San Jose-Sunnyvale-Santa Clara, CA","San Jose-Sunnyvale-Santa Clara, CA Metro Area",M1,1,G3110,6938387443,40386344,36.91,-121.37,NA,1853,NA,3947,46.95,NA,NA
12,41500,NA,41500,"Salinas, CA","Salinas, CA Metro Area",M1,1,G3110,8496731189,1270747397,36.24,-121.32,NA,339,NA,841,40.31,NA,NA
13,44700,488,44700,"Stockton-Lodi, CA","Stockton-Lodi, CA Metro Area",M1,1,G3110,3603647025,91127543,37.93,-121.27,95,503,26,1458,34.50,6.52,1.78
14,40900,472,40900,"Sacramento--Roseville--Arden-Arcade, CA","Sacramento--Roseville--Arden-Arcade, CA Metro Area",M1,1,G3110,13195191548,548573735,38.79,-121.01,NA,1043,NA,4562,22.86,NA,NA
15,42020,NA,42020,"San Luis Obispo-Paso Robles-Arroyo Grande, CA","San Luis Obispo-Paso Robles-Arroyo Grande, CA Metro Area",M1,1,G3110,8548549787,815580311,35.39,-120.45,53,57,3,514,11.09,10.31,0.58
16,42200,NA,42200,"Santa Maria-Santa Barbara, CA","Santa Maria-Santa Barbara, CA Metro Area",M1,1,G3110,7083927512,2729816973,34.54,-120.04,NA,264,NA,793,33.29,NA,NA
17,44060,518,44060,"Spokane-Spokane Valley, WA","Spokane-Spokane Valley, WA Metro Area",M1,1,G3110,14611513157,272295323,48.19,-117.57,NA,42,NA,1295,3.24,NA,NA
18,41740,NA,41740,"San Diego-Carlsbad, CA","San Diego-Carlsbad, CA Metro Area",M1,1,G3110,10895227071,826282961,33.02,-116.78,NA,2015,NA,6891,29.24,NA,NA
19,41100,NA,41100,"St. George, UT","St. George, UT Metro Area",M1,1,G3110,6285672118,9134289,37.26,-113.49,NA,56,NA,632,8.86,NA,NA
20,41620,482,41620,"Salt Lake City, UT","Salt Lake City, UT Metro Area",M1,1,G3110,19901615700,1055940277,40.57,-112.95,NA,842,NA,5406,15.58,NA,NA
21,42140,106,42140,"Santa Fe, NM","Santa Fe, NM Metro Area",M1,1,G3110,4945412532,3645423,35.51,-105.97,NA,272,NA,992,27.42,NA,NA
22,41700,NA,41700,"San Antonio-New Braunfels, TX","San Antonio-New Braunfels, TX Metro Area",M1,1,G3110,18939886213,150518692,29.43,-98.61,NA,719,NA,4477,16.06,NA,NA
23,43620,NA,43620,"Sioux Falls, SD","Sioux Falls, SD Metro Area",M1,1,G3110,6671079051,27077952,43.50,-97.00,NA,202,NA,3598,5.61,NA,NA
24,43300,206,43300,"Sherman-Denison, TX","Sherman-Denison, TX Metro Area",M1,1,G3110,2415989108,120124595,33.62,-96.68,35,26,4,499,5.21,7.01,0.80
25,43340,NA,43340,"Shreveport-Bossier City, LA","Shreveport-Bossier City, LA Metro Area",M1,1,G3110,8257355725,324450049,32.49,-93.67,NA,31,NA,1856,1.67,NA,NA
