"","GEOID","CSAFP","CBSAFP","NAME","NAMELSAD","LSAD","MEMI","MTFCC","ALAND","AWATER","INTPTLAT","INTPTLON","ENTRE","IMMIG","ImmiEnter","ind2","TOTAL","INDUS","IMMIGRate","EntreRate","ImmigOwnEntreRate"
"1",39820,454,39820,"Redding, CA","Redding, CA Metro Area","M1",1,"G3110",9778188572,186530168,40.7605142,-122.0435556,23,25,7,4690,496,10,5.04032258064516,4.63709677419355,1.41129032258065
"2",40140,348,40140,"Riverside-San Bernardino-Ontario, CA","Riverside-San Bernardino-Ontario, CA Metro Area","M1",1,"G3110",70612017093,374752982,34.5375344,-116.1309212,530,2519,196,770,8586,10,29.3384579548102,6.17283950617284,2.28278593058467
"3",40420,466,40420,"Rockford, IL","Rockford, IL Metro Area","M1",1,"G3110",2056847303,18446904,42.331183,-89.0429139,58,63,4,770,649,10,9.70724191063174,8.93682588597843,0.61633281972265
"4",43900,273,43900,"Spartanburg, SC","Spartanburg, SC Metro Area","M1",1,"G3110",3424313941,34016289,34.8346199,-81.8424008,54,79,9,770,928,10,8.51293103448276,5.81896551724138,0.969827586206897
"5",45060,532,45060,"Syracuse, NY","Syracuse, NY Metro Area","M1",1,"G3110",6176907940,1020646108,43.0065163,-76.1961336,69,111,4,770,1362,10,8.14977973568282,5.06607929515418,0.293685756240822
"6",42220,488,42220,"Santa Rosa, CA","Santa Rosa, CA Metro Area","M1",1,"G3110",4081401191,497545934,38.5251824,-122.9261095,85,181,28,770,902,10,20.0665188470067,9.42350332594235,3.10421286031042
"7",41420,440,41420,"Salem, OR","Salem, OR Metro Area","M1",1,"G3110",4977573456,34719240,44.9033845,-122.9017571,43,231,8,7770,1266,10,18.2464454976303,3.39652448657188,0.631911532385466
"8",41860,488,41860,"San Francisco-Oakland-Hayward, CA","San Francisco-Oakland-Hayward, CA Metro Area","M1",1,"G3110",6417203879,2456442138,37.7737185,-122.2744317,802,3630,290,770,9622,10,37.7260444813968,8.33506547495323,3.01392641862399
"9",42100,488,42100,"Santa Cruz-Watsonville, CA","Santa Cruz-Watsonville, CA Metro Area","M1",1,"G3110",1152967332,419570851,37.0124883,-122.007205,53,103,9,770,660,10,15.6060606060606,8.03030303030303,1.36363636363636
"10",42660,500,42660,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma-Bellevue, WA Metro Area","M1",1,"G3110",15209110951,1132535454,47.5530503,-121.8831653,620,2206,174,770,9044,10,24.3918620079611,6.85537372843874,1.92392746572313
