"","X","state","Immi","Entre","ImmiEntre","n","ImmiRate","EntreRate","ImmiEntreRate_1","ImmiEntreRate_2","Year","ST"
"1",1,11,221,1047,28,9589,2.3,10.92,2.67,12.67,2000,"Maine"
"2",2,12,520,1000,67,9171,5.67,10.9,6.7,12.88,2000,"New Hampshire"
"3",3,13,281,1027,37,8566,3.28,11.99,3.6,13.17,2000,"Vermont"
"4",4,14,2967,1434,166,19864,14.94,7.22,11.58,5.59,2000,"Massachusetts"
"5",5,15,1046,570,52,8672,12.06,6.57,9.12,4.97,2000,"Rhode Island"
"6",6,16,1134,773,94,8920,12.71,8.67,12.16,8.29,2000,"Connecticut"
"7",7,21,13983,3596,994,53599,26.09,6.71,27.64,7.11,2000,"New York"
"8",8,22,5245,1759,343,25910,20.24,6.79,19.5,6.54,2000,"New Jersey"
"9",9,23,1631,2185,125,34703,4.7,6.3,5.72,7.66,2000,"Pennsylvania"
"10",10,31,1219,2062,117,32185,3.79,6.41,5.67,9.6,2000,"Ohio"
"11",11,32,310,736,11,11586,2.68,6.35,1.49,3.55,2000,"Indiana"
"12",12,33,5432,2296,289,36251,14.98,6.33,12.59,5.32,2000,"Illinois"
"13",13,34,2139,2024,161,29772,7.18,6.8,7.95,7.53,2000,"Michigan"
"14",14,35,577,1015,18,12299,4.69,8.25,1.77,3.12,2000,"Wisconsin"
"15",15,41,727,1174,33,12648,5.75,9.28,2.81,4.54,2000,"Minnesota"
"16",16,42,637,980,2,10921,5.83,8.97,0.2,0.31,2000,"Iowa"
"17",17,43,340,694,15,10514,3.23,6.6,2.16,4.41,2000,"Missouri"
"18",18,44,153,1332,7,10837,1.41,12.29,0.53,4.58,2000,"North Dakota"
"19",19,45,175,1325,34,11258,1.55,11.77,2.57,19.43,2000,"South Dakota"
"20",20,46,581,1266,35,11533,5.04,10.98,2.76,6.02,2000,"Nebraska"
"21",21,47,691,850,28,11186,6.18,7.6,3.29,4.05,2000,"Kansas"
"22",22,51,598,637,44,8800,6.8,7.24,6.91,7.36,2000,"Delaware"
"23",23,52,1072,664,63,9781,10.96,6.79,9.49,5.88,2000,"Maryland"
"24",24,53,1211,442,38,8463,14.31,5.22,8.6,3.14,2000,"Washington, D.C."
"25",25,54,1312,880,79,13578,9.66,6.48,8.98,6.02,2000,"Virginia"
"26",26,55,121,555,3,11500,1.05,4.83,0.54,2.48,2000,"West Virginia"
"27",27,56,1378,1836,96,22134,6.23,8.29,5.23,6.97,2000,"North Carolina"
"28",28,57,173,634,22,9252,1.87,6.85,3.47,12.72,2000,"South Carolina"
"29",29,58,975,1055,84,14282,6.83,7.39,7.96,8.62,2000,"Georgia"
"30",30,59,9166,3366,778,40409,22.68,8.33,23.11,8.49,2000,"Florida"
