State,ImmEstaShare,NativeEstShare,NumEstab
Alabama,3884,95700,99584
Alaska,1813,19264,21077
Arizona,35159,103975,139134
Arkansas,4507,61104,65611
California,337627,584850,922477
Colorado,14808,150456,165264
Connecticut,19868,69548,89416
Delaware,2813,22553,25366
District of Columbia,5150,18027,23177
Florida,204395,341823,546218
Georgia,43291,185039,228330
Hawaii,6955,25395,32350
Idaho,4079,41747,45826
Illinois,64496,255109,319605
Indiana,11526,134552,146078
Iowa,1501,80062,81563
Kansas,5204,69680,74884
Kentucky,3790,88210,92000
Louisiana,9992,95740,105732
Maine,1252,39926,41178
Maryland,37099,101381,138480
Massachusetts,37640,139991,177631
Michigan,19352,201060,220412
Minnesota,8902,141213,150115
Mississippi,1730,57120,58850
Missouri,8432,152480,160912
Montana,895,36731,37626
Nebraska,2957,51308,54265
Nevada,16819,47996,64815
New Hampshire,2465,35403,37868
New Jersey,66994,164980,231974
New Mexico,7165,36606,43771
New York,152286,391787,544073
North Carolina,32170,195177,227347
North Dakota,330,24271,24601
Ohio,16191,236010,252201
Oklahoma,7841,85391,93232
Oregon,12795,101756,114551
Pennsylvania,28159,273325,301484
Rhode Island,5135,23550,28685
South Carolina,8901,97058,105959
South Dakota,433,26310,26743
Tennessee,13698,121654,135352
Texas,172708,406460,579168
Utah,8370,69134,77504
Vermont,783,20391,21174
Virginia,38353,161195,199548
Washington,34198,151966,186164
West Virginia,794,35813,36607
Wisconsin,9536,131323,140859
Wyoming,618,20348,20966
