NAME,ENTRE,IMMIG,ImmiEnter,TOTAL,GEOID,INTPTLAT,INTPTLON,IMMIGRate,EntreRate,ImmigOwnEntreRate,year,metro,state
"Redding, CA",23,25,7,496,39820,40.7605142,-122.0435556,5.040322581,4.637096774,30.43478261,2017,Redding,CA
"Riverside-San Bernardino-Ontario, CA",530,2519,196,8586,40140,34.5375344,-116.1309212,29.33845795,6.172839506,36.98113208,2017,Riverside-San Bernardino-Ontario,CA
"Rockford, IL",58,63,4,649,40420,42.331183,-89.0429139,9.707241911,8.936825886,6.896551724,2017,Rockford,IL
"Spartanburg, SC",54,79,9,928,43900,34.8346199,-81.8424008,8.512931034,5.818965517,16.66666667,2017,Spartanburg,SC
"Syracuse, NY",69,111,4,1362,45060,43.0065163,-76.1961336,8.149779736,5.066079295,5.797101449,2017,Syracuse,NY
"Santa Rosa, CA",85,181,28,902,42220,38.5251824,-122.9261095,20.06651885,9.423503326,32.94117647,2017,Santa Rosa,CA
"Salem, OR",43,231,8,1266,41420,44.9033845,-122.9017571,18.2464455,3.396524487,18.60465116,2017,Salem,OR
"San Francisco-Oakland-Hayward, CA",802,3630,290,9622,41860,37.7737185,-122.2744317,37.72604448,8.335065475,36.159601,2017,San Francisco-Oakland-Hayward,CA
"Santa Cruz-Watsonville, CA",53,103,9,660,42100,37.0124883,-122.007205,15.60606061,8.03030303,16.98113208,2017,Santa Cruz-Watsonville,CA
"Seattle-Tacoma-Bellevue, WA",620,2206,174,9044,42660,47.5530503,-121.8831653,24.39186201,6.855373728,28.06451613,2017,Seattle-Tacoma-Bellevue,WA
"San Jose-Sunnyvale-Santa Clara, CA",259,1853,109,3947,41940,36.9084718,-121.3713721,46.94704839,6.561945782,42.08494208,2017,San Jose-Sunnyvale-Santa Clara,CA
"Salinas, CA",54,339,16,841,41500,36.240107,-121.3155723,40.30915577,6.420927467,29.62962963,2017,Salinas,CA
"Stockton-Lodi, CA",95,503,26,1458,44700,37.9349815,-121.272244,34.49931413,6.515775034,27.36842105,2017,Stockton-Lodi,CA
"Sacramento--Roseville--Arden-Arcade, CA",300,1043,71,4562,40900,38.7896779,-121.0057504,22.86277948,6.57606313,23.66666667,2017,Sacramento--Roseville--Arden-Arcade,CA
"San Luis Obispo-Paso Robles-Arroyo Grande, CA",53,57,3,514,42020,35.3852263,-120.4475418,11.08949416,10.31128405,5.660377358,2017,San Luis Obispo-Paso Robles-Arroyo Grande,CA
"Santa Maria-Santa Barbara, CA",45,264,3,793,42200,34.5370572,-120.0399729,33.29129887,5.674653216,6.666666667,2017,Santa Maria-Santa Barbara,CA
"Spokane-Spokane Valley, WA",95,42,6,1295,44060,48.1890407,-117.5732186,3.243243243,7.335907336,6.315789474,2017,Spokane-Spokane Valley,WA
"San Diego-Carlsbad, CA",547,2015,184,6891,41740,33.0236041,-116.7761174,29.24103904,7.937890001,33.63802559,2017,San Diego-Carlsbad,CA
"St. George, UT",49,56,2,632,41100,37.2625308,-113.4878003,8.860759494,7.753164557,4.081632653,2017,St. George,UT
"Salt Lake City, UT",360,842,64,5406,41620,40.5727871,-112.9531375,15.57528672,6.659267481,17.77777778,2017,Salt Lake City,UT
"Santa Fe, NM",110,272,29,992,42140,35.5143241,-105.9657706,27.41935484,11.08870968,26.36363636,2017,Santa Fe,NM
"San Antonio-New Braunfels, TX",291,719,68,4477,41700,29.4330599,-98.6069734,16.05986151,6.499888318,23.36769759,2017,San Antonio-New Braunfels,TX
"Sioux Falls, SD",311,202,8,3598,43620,43.4954205,-96.9953387,5.614230128,8.643690939,2.572347267,2017,Sioux Falls,SD
"Sherman-Denison, TX",35,26,4,499,43300,33.6245321,-96.6757378,5.210420842,7.014028056,11.42857143,2017,Sherman-Denison,TX
"Shreveport-Bossier City, LA",87,31,2,1856,43340,32.4906379,-93.6711914,1.670258621,4.6875,2.298850575,2017,Shreveport-Bossier City,LA
"Springfield, MO",83,47,8,983,44180,37.3608699,-93.1802617,4.78128179,8.443540183,9.638554217,2017,Springfield,MO
"St. Louis, MO-IL",322,406,12,5978,41180,38.7404035,-90.3459564,6.791569087,5.386416862,3.726708075,2017,St. Louis,MO-IL
"Springfield, IL",46,25,0,633,44100,39.828565,-89.6962052,3.949447077,7.266982622,0,2017,Springfield,IL
"South Bend-Mishawaka, IN-MI",17,19,0,596,43780,41.7749808,-86.1230143,3.187919463,2.852348993,0,2017,South Bend-Mishawaka,IN-MI
"Saginaw, MI",14,28,0,359,40980,43.3282667,-84.05541,7.799442897,3.899721448,0,2017,Saginaw,MI
"Savannah, GA",51,81,6,951,42340,32.1091449,-81.2730939,8.517350158,5.362776025,11.76470588,2017,Savannah,GA
"Roanoke, VA",10,60,2,428,40220,37.2862262,-79.9469346,14.01869159,2.336448598,20,2017,Roanoke,VA
"Raleigh, NC",170,462,32,3087,39580,35.7567464,-78.4604412,14.96598639,5.506964691,18.82352941,2017,Raleigh,NC
"Rochester, NY",130,140,12,2159,40380,43.148038,-77.5232575,6.484483557,6.02130616,9.230769231,2017,Rochester,NY
"Richmond, VA",111,314,19,2513,40060,37.4634618,-77.4751772,12.49502587,4.417031437,17.11711712,2017,Richmond,VA
"Reading, PA",31,76,7,743,39740,40.4139565,-75.9268598,10.22880215,4.172274563,22.58064516,2017,Reading,PA
"Scranton--Wilkes-Barre--Hazleton, PA",51,85,13,1049,42540,41.3228806,-75.8981877,8.102955195,4.861773117,25.49019608,2017,Scranton--Wilkes-Barre--Hazleton,PA
"Salisbury, MD-DE",153,276,13,2337,41540,38.3995211,-75.4782615,11.81001284,6.546854942,8.496732026,2017,Salisbury,MD-DE
"Springfield, MA",110,164,0,1717,44140,42.2477995,-72.6320465,9.55154339,6.406523005,0,2017,Springfield,MA
"Wichita Falls, TX",23,44,7,485,48660,33.7761441,-98.5019073,9.072164948,4.742268041,30.43478261,2017,Wichita Falls,TX
"Wausau, WI",11,8,0,339,48140,44.8980363,-89.757823,2.359882006,3.244837758,0,2017,Wausau,WI
"Tampa-St. Petersburg-Clearwater, FL",384,1199,71,6349,45300,28.1259071,-82.4652858,18.88486376,6.048196566,18.48958333,2017,Tampa-St. Petersburg-Clearwater,FL
"Worcester, MA-CT",170,496,42,2713,49340,42.2173112,-71.9255354,18.28234427,6.26612606,24.70588235,2017,Worcester,MA-CT
"Urban Honolulu, HI",498,2382,167,9531,46520,21.4613654,-158.201974,24.99213094,5.225055083,33.53413655,2017,Urban Honolulu,HI
"Vallejo-Fairfield, CA",49,173,5,791,46700,38.2672255,-121.939594,21.8710493,6.194690265,10.20408163,2017,Vallejo-Fairfield,CA
"Visalia-Porterville, CA",41,365,5,857,47300,36.2288241,-118.781061,42.59043174,4.784130688,12.19512195,2017,Visalia-Porterville,CA
"Yuma, AZ",21,271,9,672,49740,32.7739424,-113.910905,40.32738095,3.125,42.85714286,2017,Yuma,AZ
"Tucson, AZ",126,306,31,1992,46060,32.1285226,-111.7830267,15.36144578,6.325301205,24.6031746,2017,Tucson,AZ
"Wichita, KS",148,309,9,2452,48620,37.6298308,-97.3988319,12.60195759,6.03588907,6.081081081,2017,Wichita,KS
"Waco, TX",23,91,4,466,47380,31.4272264,-97.0934727,19.527897,4.935622318,17.39130435,2017,Waco,TX
"Tulsa, OK",227,404,36,3345,46140,36.2541502,-96.1749783,12.07772795,6.786248132,15.85903084,2017,Tulsa,OK
"Topeka, KS",23,61,2,808,45820,39.0413888,-95.8026393,7.54950495,2.846534653,8.695652174,2017,Topeka,KS
"Tyler, TX",28,79,14,490,46340,32.3751061,-95.2687428,16.12244898,5.714285714,50,2017,Tyler,TX
"Waterloo-Cedar Falls, IA",50,56,8,800,47940,42.5367962,-92.471608,7,6.25,16,2017,Waterloo-Cedar Falls,IA
"Terre Haute, IN",21,9,0,496,45460,39.392389,-87.3470958,1.814516129,4.233870968,0,2017,Terre Haute,IN
"Tallahassee, FL",41,33,2,765,45220,30.3864276,-84.2804098,4.31372549,5.359477124,4.87804878,2017,Tallahassee,FL
"Toledo, OH",40,13,0,1045,45780,41.5439974,-83.6908887,1.244019139,3.827751196,0,2017,Toledo,OH
"Warner Robins, GA",26,16,5,356,47580,32.4015944,-83.6350953,4.494382022,7.303370787,19.23076923,2017,Warner Robins,GA
"Youngstown-Warren-Boardman, OH-PA",50,19,4,1225,49660,41.2363015,-80.5618679,1.551020408,4.081632653,8,2017,Youngstown-Warren-Boardman,OH-PA
"Winston-Salem, NC",48,138,9,1266,49180,36.0788515,-80.3450642,10.90047393,3.791469194,18.75,2017,Winston-Salem,NC
"Winchester, VA-WV",31,58,1,491,49020,39.2729744,-78.4718276,11.81262729,6.313645621,3.225806452,2017,Winchester,VA-WV
"Washington-Arlington-Alexandria, DC-VA-MD-WV",1511,6291,417,27297,47900,38.8169283,-77.4482275,23.04648863,5.535406821,27.59761747,2017,Washington-Arlington-Alexandria,DC-VA-MD-WV
"Williamsport, PA",34,10,0,511,48700,41.3436196,-77.0552254,1.956947162,6.653620352,0,2017,Williamsport,PA
"York-Hanover, PA",35,51,0,800,49620,39.9217514,-76.7288887,6.375,4.375,0,2017,York-Hanover,PA
"Virginia Beach-Norfolk-Newport News, VA-NC",142,288,14,3163,47260,36.8560812,-76.3737908,9.105279798,4.489408789,9.85915493,2017,Virginia Beach-Norfolk-Newport News,VA-NC
"Watertown-Fort Drum, NY",16,30,0,622,48060,43.9965164,-76.0529023,4.823151125,2.572347267,0,2017,Watertown-Fort Drum,NY
"Utica-Rome, NY",33,30,6,601,46540,43.3322887,-75.173169,4.991680532,5.490848586,18.18181818,2017,Utica-Rome,NY
"Vineland-Bridgeton, NJ",3,58,2,233,47220,39.3283874,-75.1216435,24.89270386,1.287553648,66.66666667,2017,Vineland-Bridgeton,NJ
"Trenton, NJ",32,239,8,686,45940,40.2825027,-74.703724,34.83965015,4.664723032,25,2017,Trenton,NJ
"Oklahoma City, OK",359,432,54,4462,36420,35.4309676,-97.5069659,9.68175706,8.045719408,15.04178273,2017,Oklahoma City,OK
"Racine, WI",19,44,4,530,39540,42.7540747,-87.414676,8.301886792,3.58490566,21.05263158,2017,Racine,WI
"Portland-Vancouver-Hillsboro, OR-WA",686,1231,122,7900,38900,45.6006204,-122.4843457,15.58227848,8.683544304,17.78425656,2017,Portland-Vancouver-Hillsboro,OR-WA
"Mount Vernon-Anacortes, WA",58,84,12,776,34580,48.4932917,-121.8157703,10.82474227,7.474226804,20.68965517,2017,Mount Vernon-Anacortes,WA
"Oxnard-Thousand Oaks-Ventura, CA",138,378,33,1565,37100,34.3587415,-119.1331432,24.15335463,8.817891374,23.91304348,2017,Oxnard-Thousand Oaks-Ventura,CA
"Ogden-Clearfield, UT",177,237,9,2926,36260,41.6218833,-113.0436525,8.099794942,6.049213944,5.084745763,2017,Ogden-Clearfield,UT
"Prescott, AZ",47,40,7,427,39140,34.6312117,-112.5773855,9.367681499,11.00702576,14.89361702,2017,Prescott,AZ
"Provo-Orem, UT",174,278,17,2629,39340,39.872067,-112.3590592,10.57436288,6.618486116,9.770114943,2017,Provo-Orem,UT
"Phoenix-Mesa-Scottsdale, AZ",635,1829,175,9124,38060,33.1857653,-112.0678624,20.04603244,6.959666813,27.55905512,2017,Phoenix-Mesa-Scottsdale,AZ
"Odessa, TX",34,95,11,498,36220,31.8653008,-102.5425068,19.07630522,6.827309237,32.35294118,2017,Odessa,TX
"Omaha-Council Bluffs, NE-IA",320,423,31,4829,36540,41.2904587,-95.9999701,8.759577552,6.626630772,9.6875,2017,Omaha-Council Bluffs,NE-IA
"Pine Bluff, AR",53,55,8,1568,38220,34.0812083,-91.9457289,3.507653061,3.380102041,15.09433962,2017,Pine Bluff,AR
"New Orleans-Metairie, LA",431,482,74,5264,35380,29.805532,-89.7013821,9.156534954,8.18768997,17.16937355,2017,New Orleans-Metairie,LA
"Peoria, IL",32,27,4,732,37900,40.7882548,-89.514745,3.68852459,4.371584699,12.5,2017,Peoria,IL
"Oshkosh-Neenah, WI",20,4,0,343,36780,44.0857068,-88.6681488,1.166180758,5.83090379,0,2017,Oshkosh-Neenah,WI
"Pensacola-Ferry Pass-Brent, FL",42,54,2,823,37860,30.6554013,-87.1618275,6.561360875,5.10328068,4.761904762,2017,Pensacola-Ferry Pass-Brent,FL
"Nashville-Davidson--Murfreesboro--Franklin, TN",411,487,45,4953,34980,36.0885065,-86.7266015,9.832424793,8.298001211,10.94890511,2017,Nashville-Davidson--Murfreesboro--Franklin,TN
"Niles-Benton Harbor, MI",17,24,0,406,35660,41.7926389,-86.7418216,5.911330049,4.187192118,0,2017,Niles-Benton Harbor,MI
"Muskegon, MI",17,8,0,492,34740,43.2892579,-86.751892,1.62601626,3.455284553,0,2017,Muskegon,MI
"Panama City, FL",19,43,11,531,37460,30.1010953,-85.4749707,8.097928437,3.578154426,57.89473684,2017,Panama City,FL
"North Port-Sarasota-Bradenton, FL",97,209,25,1303,35840,27.3642465,-82.3193366,16.0399079,7.444359171,25.77319588,2017,North Port-Sarasota-Bradenton,FL
"Ocala, FL",70,78,11,579,36100,29.2028047,-82.0431004,13.47150259,12.08981002,15.71428571,2017,Ocala,FL
"Naples-Immokalee-Marco Island, FL",89,210,29,660,34940,26.118786,-81.4009553,31.81818182,13.48484848,32.58426966,2017,Naples-Immokalee-Marco Island,FL
"Orlando-Kissimmee-Sanford, FL",353,1131,114,4823,36740,28.434348,-81.3558763,23.45013477,7.319095998,32.29461756,2017,Orlando-Kissimmee-Sanford,FL
"Palm Bay-Melbourne-Titusville, FL",60,64,5,1009,37340,28.2983043,-80.7003309,6.342913776,5.946481665,8.333333333,2017,Palm Bay-Melbourne-Titusville,FL
"Port St. Lucie, FL",66,180,25,721,38940,27.2326989,-80.4267701,24.96532594,9.153952843,37.87878788,2017,Port St. Lucie,FL
"Pittsburgh, PA",223,207,12,4727,38300,40.4343378,-79.8280615,4.379098794,4.71757986,5.381165919,2017,Pittsburgh,PA
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",67,54,12,903,34820,33.9690951,-78.6127235,5.980066445,7.419712071,17.91044776,2017,Myrtle Beach-Conway-North Myrtle Beach,SC-NC
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",890,2197,175,15362,37980,39.8951304,-75.3120032,14.30152324,5.793516469,19.66292135,2017,Philadelphia-Camden-Wilmington,PA-NJ-DE-MD
"New York-Newark-Jersey City, NY-NJ-PA",2274,12611,723,37968,35620,40.8987884,-73.9031302,33.21481247,5.989254109,31.79419525,2017,New York-Newark-Jersey City,NY-NJ-PA
"New Haven-Milford, CT",114,369,22,2139,35300,41.3497173,-72.9002037,17.25105189,5.329593268,19.29824561,2017,New Haven-Milford,CT
"Norwich-New London, CT",30,104,5,647,35980,41.4726514,-72.1086329,16.07418856,4.636785162,16.66666667,2017,Norwich-New London,CT
"Providence-Warwick, RI-MA",545,1628,72,9634,39300,41.7016138,-71.2892856,16.89848453,5.657047955,13.21100917,2017,Providence-Warwick,RI-MA
"Portland-South Portland, ME",415,131,6,3387,38860,43.6514172,-70.4183755,3.867729554,12.25273103,1.445783133,2017,Portland-South Portland,ME
"Minneapolis-St. Paul-Bloomington, MN-WI",513,1009,39,7731,33460,45.0612031,-93.3515965,13.0513517,6.635622817,7.602339181,2017,Minneapolis-St. Paul-Bloomington,MN-WI
"Milwaukee-Waukesha-West Allis, WI",190,320,36,3373,33340,43.0176524,-87.4815485,9.487103469,5.632967685,18.94736842,2017,Milwaukee-Waukesha-West Allis,WI
"Eugene, OR",104,126,3,1063,21660,43.9283286,-122.8976901,11.85324553,9.783631232,2.884615385,2017,Eugene,OR
"Medford, OR",103,121,18,892,32780,42.4116284,-122.6756846,13.56502242,11.5470852,17.47572816,2017,Medford,OR
"Modesto, CA",40,282,18,1041,33700,37.5623842,-121.0026557,27.08933718,3.842459174,45,2017,Modesto,CA
"Hanford-Corcoran, CA",23,216,3,731,25260,36.072478,-119.8155301,29.54856361,3.146374829,13.04347826,2017,Hanford-Corcoran,CA
"Fresno, CA",74,545,28,2023,23420,36.7610058,-119.6550193,26.94018784,3.657933762,37.83783784,2017,Fresno,CA
"Los Angeles-Long Beach-Anaheim, CA",2472,11244,1125,28209,31080,34.1090244,-118.1825492,39.85961927,8.763160693,45.50970874,2017,Los Angeles-Long Beach-Anaheim,CA
"Farmington, NM",40,50,0,905,22140,36.5116245,-108.3245778,5.524861878,4.419889503,0,2017,Farmington,NM
"Albuquerque, NM",403,936,73,7060,10740,35.1166033,-106.4565347,13.25779037,5.708215297,18.11414392,2017,Albuquerque,NM
"El Paso, TX",79,466,17,1643,21340,31.527394,-105.5213326,28.36275107,4.808277541,21.51898734,2017,El Paso,TX
"Fort Collins, CO",50,14,3,594,22660,40.6580933,-105.4867638,2.356902357,8.417508418,6,2017,Fort Collins,CO
"Denver-Aurora-Lakewood, CO",489,867,67,6031,19740,39.4347492,-104.901209,14.37572542,8.108108108,13.70143149,2017,Denver-Aurora-Lakewood,CO
"Greeley, CO",62,67,0,679,24540,40.5536965,-104.3942215,9.867452135,9.13107511,0,2017,Greeley,CO
"Amarillo, TX",26,49,3,530,11100,35.2480011,-101.9086668,9.245283019,4.905660377,11.53846154,2017,Amarillo,TX
"Lubbock, TX",20,46,2,481,31180,33.4703271,-101.6488249,9.563409563,4.158004158,10,2017,Lubbock,TX
"Abilene, TX",31,42,4,499,10180,32.4520222,-99.7187428,8.416833667,6.21242485,12.90322581,2017,Abilene,TX
"McAllen-Edinburg-Mission, TX",89,432,57,1428,32580,26.3963839,-98.18099,30.25210084,6.232492997,64.04494382,2017,McAllen-Edinburg-Mission,TX
"Fargo, ND-MN",148,260,4,3095,22020,46.9148591,-96.9601826,8.400646204,4.7819063,2.702702703,2017,Fargo,ND-MN
"Houston-The Woodlands-Sugar Land, TX",789,4153,348,12633,26420,29.7495926,-95.3536422,32.87421832,6.245547376,44.10646388,2017,Houston-The Woodlands-Sugar Land,TX
