pid,grdatn,age,state,natvty,msafp,year,immigr,se15u,ind2
110467480572 6011 12112,45,59,63,57,26620,2017,0,1,7980
4510810026152 6111 12111,45,39,63,301,26620,2017,1,1,7270
7150015086175 5111 12012,39,53,63,57,33860,2017,0,1,9090
9008753110818 5111 121 1,44,62,63,301,13820,2017,0,1,8370
91001344005501 6011 22111,43,22,63,57,26620,2017,0,1,5690
143670104301000 5011 32012,43,38,63,57,33660,2017,0,1,7290
173410010040036 5011 22012,43,45,63,57,33660,2017,0,1,8560
401063701430001 5012 12012,43,45,63,57,33660,2017,0,1,5490
401063701430001 5012 22012,43,39,63,57,33660,2017,0,1,5490
510096180805902 4111 12011,39,50,63,57,13820,2017,0,1,8170
510100550202861 6011 22110,43,30,63,57,13820,2017,0,1,6970
602008074110754 6011 22112,43,51,63,57,26620,2017,0,1,7380
621415005500429 6012 12110,43,52,63,57,13820,2017,0,1,7070
110233098483 6111 22112,45,59,63,57,33860,2017,0,1,7970
110716635560 6111 22112,45,46,63,57,13820,2017,0,1,7270
460812011109 6011 12110,42,54,63,57,26620,2017,0,1,9080
460812011109 6011 22110,40,54,63,57,26620,2017,0,1,5580
3290318043108 6111 12112,43,60,63,57,33860,2017,0,1,7280
3290318043108 6111 22112,43,59,63,57,33860,2017,0,1,7070
4270719013153 5111 12012,40,36,63,57,26620,2017,0,1,4470
4280717082100 6011 22111,39,42,63,57,13820,2017,0,1,8560
5110714081111 6111 22110,35,40,63,57,13820,2017,0,1,6170
7150010038185 4112 12010,41,45,63,57,13820,2017,0,1,8170
8160110043153 6111 32111,40,50,63,57,33860,2017,0,1,8580
9050012091127 5111 22012,35,46,63,57,33860,2017,0,1,770
10654110103308 4011 12010,39,49,63,57,33860,2017,0,1,5390
136840610581000 6011 22111,37,33,63,57,33660,2017,0,1,770
143430997231000 6011 222 1,43,38,63,57,13820,2017,0,1,4780
171920670121000 5011 121 1,41,62,63,57,13820,2017,0,1,770
173410010060056 6111 12110,46,31,63,57,33660,2017,0,1,5070
201731201350004 6111 12112,40,54,63,57,13820,2017,0,1,8770
205005931110377 6011 12111,40,44,63,57,13820,2017,0,1,8680
210000870028741 6011 12111,41,40,63,57,13820,2017,0,1,770
210000870028741 6011 22111,41,49,63,57,13820,2017,0,1,770
210432160206309 5111 22012,39,64,63,57,33660,2017,0,1,180
405007077110191 6111 222 1,40,60,63,57,13820,2017,0,1,3895
410008860839241 6011 22110,43,60,63,57,13820,2017,0,1,7280
507001471110674 4011 22010,39,48,63,57,33860,2017,0,1,770
510000550092861 6111 12111,36,39,63,57,13820,2017,0,1,7770
511566101570005 6011 12112,46,39,63,57,33660,2017,0,1,7980
541635501590000 6011 22112,39,52,63,57,26620,2017,0,1,770
631819007200660 5011 221 1,40,62,63,57,13820,2017,0,1,770
771291201010006 5011 221 1,40,46,63,57,13820,2017,0,1,770
110534226590 6011 22111,43,63,63,57,0,2017,0,1,6990
110612490274 6011 22112,39,56,63,57,0,2017,0,1,7690
110667217599 6011 22110,37,53,63,57,0,2017,0,1,770
3490215015137 5011 12012,37,49,63,57,0,2017,0,1,770
7760216098123 6011 12111,43,29,63,57,0,2017,0,1,170
110002260963011 6011 12112,39,48,63,57,0,2017,0,1,770
110530453343000 5011 121 1,37,46,63,57,0,2017,0,1,8770
111614007800125 6111 12111,41,42,63,57,0,2017,0,1,170
135081904008291 5011 22012,34,50,63,57,0,2017,0,1,180
192820524081000 5111 12012,43,61,63,57,0,2017,0,1,1670
193960615771000 6111 12112,40,63,63,57,0,2017,0,1,170
208006674110992 5011 221 1,39,53,63,57,0,2017,0,1,8770
505006051110855 6011 12112,37,40,63,57,0,2017,0,1,5470
510486130502408 6011 122 1,43,39,63,57,0,2017,0,1,4770
609007746110252 6111 222 1,39,45,63,57,0,2017,0,1,6170
891670801451001 6011 12112,39,36,63,57,0,2017,0,1,770
110127978551 6011 12110,41,48,63,57,22520,2017,0,1,770
600015030134 4111 12011,44,60,63,57,12220,2017,0,1,8370
4000413087159 5011 12012,42,47,63,57,22520,2017,0,1,7470
28071804006031 4111 22010,43,33,63,57,12220,2017,0,1,7770
173620906791000 5011 12012,43,46,63,57,19300,2017,0,1,6170
186800432701000 4111 12010,43,50,63,57,12220,2017,0,1,7070
193240092351000 5011 121 1,33,37,63,57,19300,2017,0,1,9090
193240092351000 5011 221 1,43,39,63,57,19300,2017,0,1,770
201005033110855 5011 121 1,43,29,63,57,12220,2017,0,1,7770
310001280035091 4011 12011,43,41,63,57,22520,2017,0,1,8590
609002752110144 4111 12011,34,62,63,57,22520,2017,0,1,170
710099160803602 6011 12110,41,63,63,301,19300,2017,1,1,9070
910004270124651 4111 22011,43,55,63,57,22520,2017,0,1,5590
951767501920000 6011 22111,40,34,63,57,19300,2017,0,1,770
210436359649 6111 122 1,39,60,94,217,0,2017,1,1,8680
210436359649 6111 222 1,39,57,94,217,0,2017,1,1,8680
212275922387 6011 12111,43,62,94,57,0,2017,0,1,7890
212304908505 6011 12112,41,55,94,57,0,2017,0,1,770
5010840210459 5011 22012,43,41,94,217,0,2017,1,1,9090
24600018055294 6011 12110,36,48,94,57,0,2017,0,1,7280
24600018055294 6011 22110,36,49,94,57,0,2017,0,1,7690
106410020126490 4011 22011,40,61,94,57,0,2017,0,1,8470
159040020045187 5011 22012,40,62,94,57,0,2017,0,1,7070
204750327291200 4011 12011,37,49,94,57,0,2017,0,1,8680
210950284721200 6011 222 1,42,64,94,57,0,2017,0,1,770
222250236691200 6011 12112,43,26,94,57,0,2017,0,1,6970
223790493021200 4011 22011,43,30,94,57,0,2017,0,1,8370
242950284721200 6011 22110,45,60,94,57,0,2017,0,1,7270
249072422002581 6011 12110,43,39,94,138,0,2017,1,1,7770
250082695000401 6011 12112,46,59,94,57,0,2017,0,1,8180
253042644005061 6011 12110,39,57,94,57,0,2017,0,1,6290
262431001542004 4011 22010,40,41,94,57,0,2017,0,1,8470
461220010100649 4011 22011,40,50,94,57,0,2017,0,1,7290
482292501472002 6011 12110,46,56,94,57,0,2017,0,1,8560
492279901300004 5011 221 1,44,36,94,57,0,2017,0,1,7890
510209080255042 4011 12010,43,58,94,57,0,2017,0,1,4870
620051190407108 4111 22011,39,48,94,57,0,2017,0,1,4680
641120003400455 6111 22110,40,27,94,57,0,2017,0,1,8170
871425029200242 6011 12110,43,44,94,57,0,2017,0,1,7770
909029063210620 6011 12111,40,35,94,57,0,2017,0,1,770
909029063210620 6011 22111,39,34,94,57,0,2017,0,1,770
910203590616362 4011 12011,39,56,94,57,0,2017,0,1,5580
910203590616362 4011 22011,39,56,94,57,0,2017,0,1,5580
910203590946362 6011 122 1,43,31,94,57,0,2017,0,1,8370
5850111052206 5011 121 1,43,34,94,57,0,2017,0,1,7290
16710910074240 4011 22010,40,56,94,57,0,2017,0,1,5690
19750018070211 6011 22112,46,52,94,57,0,2017,0,1,7970
20147190700416 4011 52010,43,64,94,57,0,2017,0,1,770
20147190801416 6011 12110,39,50,94,57,0,2017,0,1,8560
20147190801416 6011 22110,37,56,94,57,0,2017,0,1,8560
100211947289594 6011 12110,41,58,94,57,0,2017,0,1,8560
131090120233711 6011 22112,43,28,94,57,0,2017,0,1,7070
148550020029090 5011 12012,37,45,94,57,0,2017,0,1,8680
241223004300908 5011 121 1,43,59,94,57,0,2017,0,1,6990
241223004300908 5011 221 1,39,51,94,57,0,2017,0,1,6990
311200600801572 6011 122 1,39,55,94,57,0,2017,0,1,5275
820054131307816 4011 12011,42,54,94,57,0,2017,0,1,1790
820054131307816 4011 22011,39,44,94,57,0,2017,0,1,1790
820517100701019 6011 22112,44,61,94,57,0,2017,0,1,8560
904011068210174 6011 22110,42,33,94,57,0,2017,0,1,7670
210699935073 5011 12012,40,32,94,57,0,2017,0,1,8880
211151992716 5011 12012,39,52,94,57,0,2017,0,1,770
45072296009161 6011 122 1,39,60,94,57,0,2017,0,1,770
45072296009161 6011 222 1,43,51,94,303,0,2017,1,1,770
64052430001181 6111 12110,43,60,94,57,0,2017,0,1,3875
72092579005971 6011 12111,39,33,94,57,0,2017,0,1,770
112670020269945 6011 12111,46,45,94,57,0,2017,0,1,7270
116800020014757 6011 12110,39,57,94,57,0,2017,0,1,770
194082747001591 6011 22111,40,61,94,57,0,2017,0,1,6290
203001724210999 4011 22011,43,26,94,57,0,2017,0,1,5490
204960537491200 6011 22112,34,44,94,57,0,2017,0,1,280
227072237003081 4013 12011,40,56,94,57,0,2017,0,1,8590
341026029500974 6011 22112,34,40,94,57,0,2017,0,1,770
522034501730006 4011 22010,39,40,94,57,0,2017,0,1,7380
411552955942 6011 12111,39,50,86,57,46060,2017,0,1,770
414406437193 4011 12011,43,42,86,57,38060,2017,0,1,7380
